content,notes,number
"Slide Title  Helvetica, size 18, bond Aesop blue
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.
High Level Process 1
Text
High Level Process 2
Text
High Level Process 3
Text
High Level Process 4
Text
Text
Text
Text
Text",,257
"Slide Title  Helvetica, size 18, bond Aesop blue
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.
Filler
Initiative 1
Activity 1
Initiative 2
Activity 1
Initiative 3
Filler
Initiative 4
Filler
Category 1
Category 2
Activity 2
Activity 2
Activity 3
Filler
Filler

Current State",,258
"Slide Title  Helvetica, size 18, bond Aesop blue
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.
We conducted a high level assessment (including interviews, KPI collection for benchmarking, assess lean maturity and performed selected detailed analysis (e.g. WIP, quality)
Based on the analysis results, we developed jointly with CLient X experts an improvement roadmap, indentified quick wins and estimated benefits and implementation cost 

Current Phase",,259
"Slide Title  Helvetica, size 18, bond Aesop blue
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.
Having Enriched Data Quality & 
Robust MDM...
...Enables Accurate Reporting...
...that Leads to Profitable Decisions
Cleaned and high quality datasets that are fit for use
Consistency and stability in master data management (MDM)
Defined and centralized repositories (not silod)
Effective data cleaning tools and procedures 
Enterprise recognition and adoption of data stewardship
Enforced standards, best practices, and realized benefits
Accurate enterprise dashboards (e.g. OBIEE, MicroStrategy)
Single version of the truth for fact-based decisions
Full business transparency and increased organizational agility
Prevented mistakes and bad decisions
New opportunities identified for operational improvement
Concentration on business analysis and challenges, rather than data collection
When is the Data Management Strategy Right?
Cost Savings
Positive Change

High quality data and MDM methods improves the integrity of information while providing more visibility into business performance. With more transparency and accuracy, leaders will be able to make smarter business decisions with confidence",,260
"Process: Cleansing, Validation, Integration, and Evaluation
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.


Data
Quality
Cycle
Over 80% of companies are relying on inaccurate management reports, because most organizations find themselves drowning in data. 
- Capgemini, Master Data Management ",,261
"Process Management Flow
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.",,262
"Process Management Flow: RACI
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.",,263
Business Planning & Reporting Views,,264
"Slide Title  Helvetica, size 18, bond Aesop blue
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.













Milestone 2

Milestone 1",,265
"Q3  Q4 Roadmap
= Key Milestone

= On Track

= Off Track

= Pending Initiation












Go-Live

Today",,266
"Slide Title  Helvetica, size 18, bond Aesop blue
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.










Q1 - 2012
Q4 - 2012
Q3 - 2012
Q2 - 2012
Q1 - 2012
Q4 - 2011
Q3 - 2011
Q2 - 2011
Q1 - 2011
Element
Q2 - 2013
Client Lead

Pilot new Healthcare offering
Scale new Healthcare offering
Transition remaining locations
Close unprofitable locations
Consolidation facilities
Create transition 
plan
Create go-to-market plans for healthcare
Create go-to- market plans for International
Pilot new international offering
Scale new  international offering
Initiate category sourcing
Wave 1
Wave 2
Approach Facility Supplies target(s)
Rollout sales model and incentive plan
Design / rollout coverage, comp and deployment plan
Right-size sales force



Focus
Align and stabilize
Grow profitably",,267
Status Updates,,268
"Slide Title  Helvetica, size 18, bond Aesop blue
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.
Behind Track
Status Legend: 

On Track 

At Risk

Complete





",,269
"Slide Title  Helvetica, size 18, bond Aesop blue
NS
= Task Not Started
= Task Complete
 = Task Delivery Delayed / at Risk
= On Track for Completion
A
R
G
 = Off Track for Completion
",,270
Snapshot Views,,271
"Executive Update: YTD Financials Overview
YTD Summary - 
Costs: ($769k)
Salaries and Marketing comprise ~80% of costs
C Class and Finance Team are largest portion of salaries
Revenue: $92k
Merchant Package and Remittance fees is ~80% of revenue
Total Profit/Loss: ($676k)

YE Forecast  
Assuming avg. spend-rate continues with steady revenue growth, year-end operating loss is anticipated at -$1.4M. 
Key Metrics
Cost & Revenue Analysis







Security Consulting $25k
Cost Breakout by Category
Analysis Commentary
Possible Risks to Budget Plan  
Spending at the current burn rate risks exceeding in-year allocation for the year. FTE salaries and marketing fees are primary drivers of high costs. 

Mitigation to Risks  
Identifying opportunities for cutting back on salary or marketing costs may reduce over-spending risks. Utilizing resources for only mission-critical costs, and repurposing cost-savings for revenue-generating functions would soften YE loss estimations.",,272
"Slide Title  Helvetica, size 18, bond Aesop blue
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.
Overseas
($ in millions)
Total FY12 CAPEX:  $274
($ in millions)
Margin % ",,273
"Slide Title  Helvetica, size 18, bond Aesop blue
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.
CAGR: 4.2%
Philadelphia provider average occupancy rate and ALOS: 63.8% & 4.52 respectively
While only 36% of Clients revenue comes from Medicaid and Medicare,  its exposure to these payors based on AR breakdown is actually much higher at 60.1%
($)Billions 
The University of Pennsylvania demonstrated  solid topline growth of 6.7% in 2011 and achieved an impressive 11.4% NI margin3
In February 2012, the Perelman School of medicine became a regional center for the National Hear Lung, and Blood Institutes heart failure clinical trials network
In February 2012, a district judge ruled that the anti competitive practice suit brought by Deborah Heart and Lung Center against UPHS could move forward",,274
"Slide Title  Helvetica, size 18, bond Aesop blue
Merchant Sales: merchant sales declines in 2009 were attributed to the destocking employed by larger customers who chose to run-out inventories and stop production during the recession 
Management expects that destocking and restocking has leveled off and expect sales to recover through 2010
Packaged gas: management indicated that they are not seeing revenue recover as fast in package gas as they are in other markets
Praxairs packaged goods sales in emerging economies are stronger than other distribution methods though the company does not have as expansive of a distribution network as in North America
On-site contracts: Praxair has weak presence in on-site contracts in the Middle East but has recently signed a contract in Bahrain for oxygen supply to a steel company

Praxairs dedicated supply distribution

2006 to 2009 revenue growth by delivery method
Large Volume Customers (on-site): Dedicated supply system built directly on the customers site. Typically requires a 15yr contract. Leads to lower cost and price stability
Medium-sized customers (merchant): Tanking and monitoring system built at the customer site. In some cases customers own the tanks. Typically requires 5 yr contract
Small-sized customers (packaged gases / cylinder): Gases packaged in cylinders and distributed through owned, partially owned or independent distributors. Customers pay rental charge on the cylinders
CAGR=12%
CAGR=10%
CAGR=11%
CAGR=22%
Note: Other includes revenues from non-industrial gas segments
$7,656
$8,324
$9,402
$10,795
$8,956
2009 Revenue ($8.9B) by distribution method",,275
"Slide Title  Helvetica, size 18, bond Aesop blue
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.",,276
Strategic Views,,277
"Product YoY Cost Increase: Heatmap
Eastern products experiencing higher goodwill & discounts per product due to new regional competitor and declining brand recognition
Average discount percentage of sales revenue (Equivalent for Tie-up Free Bottles) - 2011
300ml CSD can is heavily discounted only in Karnataka
200ml tetra pack of juice is heavily discounted in Maharashtra, Delhi &UP region and not at all discounted in Karnataka, Bihar and Orissa
1 Liter water bottles is most  frequently given as free bottle in Karnataka and TN and rarely in Bihar, Gujarat & Raj
300ml CSD can is rarely given as free except in Delhi, UPO region",,278
Performance Evaluation: Heatmap,,279
"Slide Title  Helvetica, size 18, bond Aesop blue
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.


Discounting can be committed to a customer or open to the market
Disbursement takes the form of both spot / on-invoice or couponing/claims process
Currently product price is initiated at the item price class and accounts for the end consumer price
DME is allocated to each zone as a lump sum and then managed at a region level
Reporting of actual spend is done at aggregate level, and customer-level visibility is not tracked consistently 
Customer-Specific Cost to Serve
Discounting
Price Setting",,280
Exercise,,281
"Business Case: CEOs Financial Snapshot Request
Problem 
Statement
With an upcoming shareholder meeting, the CEO of BizBank has requested a status financial update report of the firms $502M program investments. He would like to see:

Financial summary by investment category: budget, actuals & forecast, remaining budget of the total spend (actuals + spend)
A project count of where they stand in their delivery lifecycle and whats the budget by lifecycle stage? 
Is there any under-utilized budget we can recover?
If there are any depts he should be concerned about (e.g. R & A)
This update is requested to be on a single slide
Oliver Barlow
BizBank CEO
","Whos new? Receive datasets from firends
Download from our shared drive the datasets
Vlookup and INDEX MATCH
Carry on with exercise, finish for Homework and store",282
"Session Takeaways
Understanding the important of communicating deliverables either verbally on paper 
Learned the principles of storyboarding and the process of constructing a presentation with good flow
Conducted exercise to practice SIMPLY presenting multiple subjects on a one-pager fit for Executives
Reviewed proper slide formatting and techniques to clearly and effectively present a subject based on theme





= Complete



",PANOS,283
"Aesop Business Advisory
(AesopBA)

Panos Panidis
Email: ppanidis@aesopba.com
Phone: +1 (610) 322 7555

Chriz Cruz
Email: Ccruz@aesopba.com
Phone: +1 (914) 589 0466

Edison Zhu
Email: Zzhu@aesopba.com

Ben Forde
Email: bforde@aesopba.com

Contacts
www.aesopba.com

285

Q & A",,284
"
All Rights Reserved to Aesop Business Advisory LLC
Business Analyst Training Course
Group Project Case
",,285
Todays Agenda,,286
"
On-demand Ecommerce at your fingertips.
",,287
"Business Case: CEOs Update Request
Q118 has been a very busy period at EcommTV. With the latest launch of the EcommTV marketing campaign in partnership with Comcast, the influx of new subscribers has generated significant growth but has also been overwhelming for product teams. CEO Biyu H. has been notified that the firm has experienced the highest subscriber cancellations since the start of the company in 2016.

Given EcommTVs already strained teams, Biyu has contacted her network of consultants to request some strategic analysis support. Consulting firms have jumped on the opportunity to conduct a diagnostic in order to hopefully build a long-term relationship as the go-to advisory firm for EcommTV. 

After initial meetings with Biyu, minutes have captured these key questions to answer for CEO:

(1) Cost & reason of cancellations by industry (2) What are the subscription types (characteristics) being cancelled and the overall value lost by demographic (3) a MoM trend chart using a ratio of cancelled to new account value for Q1, what were the top 3 accounts driving the losses and new wins? (4) Proposed solutions or strategic recommendations for EcommTV
Biyu Hualing
EcommTV, Chief Revenue Officer
Client Contact
Problem Statement",,288
"
** Sent with High Importance**: Root Cause Deep-Dive

Hi team, 

Thank you so much for your work so far. It slipped my mind to ask you for this as well, but would be very helpful to also understand  for the clients who cancelled due to product issues, which months did problems with the product occur and root cause of the problems. This deep-dive will really help us understand the root cause of those lost accounts

Thank you,
Biyu
Biyu Hualing
EcommTV, Chief Revenue Officer

",,289
"Executive Summary of Q1 Cancellations
(1) Industry Overview
(2) Account Demographics


Basic package SMB subscribers have experienced highest cancellations, primarily from FS accounts (50% of total loss). Premium ENT in Hospitality second demographic with ~30% of total loss.
Q1 cost of cancellations reached $64.5M, primarily driven by product issues and decisions to switch to in-house products.
(3.A) Product Issue Root Causes
$41.1M
$32.9M
$6.7M
$0.3M


Spike in Product 
Ecomm Breaks

Product Ecommerce breaks escalated in March with FS products requiring manual product setup during a time of limited team capacity. 
",,290
"Executive Summary of Q1 Cancellations
(3.B) Ratio of Cancellation to New Business  Q1 Trend
Ratio of Cancelled / New Biz
JAN
FEB
MAR
JAN
FEB
MAR
Top 3 Accounts  New Biz Wins & Cancellation Losses",,291
"293

(4) Proposed Resolutions




Growth
Management
Invest in additional product management staff to sustain product during high volume periods
Synchronize teams to manage influx expected from large campaign efforts
Establish controls and triggers to pre-emptively catch accounts at risk (accounts high issue log)
Conduct reflective assessment with account managers and product managers to review common product pain points
Identify why certain product-types are breaking (e.g. financial services products), and if there is a need for a custom offering
Product
Compatibility
Customer
Segment
Analysis
Review if SMB - Financial Services clients are compatible with Ecomm TV, or repurpose efforts to compatible cohort of clients and products
Review value-proposition for ENT customers in Hospitality & Food Svcs considering building in-house. Ecomm premium pricing is beyond budgets, revisit a lower-cost / low-maintenance solution to maintain customer base without incurring servicing effort to Ecomm
",,292
"Academy Takeaways
Understanding how to better define your career route and what are the essential actions to start building your pre-professional track
A hybrid employee that can perform the art of delivery and execute the science of data analysis is a powerful resource in any organization or function
Communicating and creating an effective presentation requires a well-thought, clearly structured, and storyboarded deliverable
Practicing and mastering advanced techniques (Excel or PPT) will enable you to deliver faster, more accurate, and higher quality products for your team or client





= Complete



",,293
"Aesop Business Advisory
(AesopBA)

Panos Panidis
Email: ppanidis@aesopba.com
Phone: +1 (610) 322 7555

Chriz Cruz
Email: Ccruz@aesopba.com
Phone: +1 (914) 589 0466


Contacts
www.aesopba.com

295

Good Luck! The Academy Network is Here for You!
WERE ROOTING FOR YOU!",,294
Example Set,,295
"Subscriber Cancellation Analysis
Claire, Dallas, Susie, Kaiwei, Brandon",,296
"Problem:

EcommTV experienced significant subscriber cancellation in Q117 
Cost and Issue  Analysis
Identify Industry, package and main issues
Issue Breakdown into Root Causes 
Major issue: product eCommerce break
Monthly issue Breakdown
     -	Increasing trend, especially for Product eCommerce Break
Current Resolution
Limited team capacity
Recommendation 

 



Overview",,297
"Target Industry by Cost and Reason
Financial and Hospitality Industry 
Financial industry: Product issue
Hospitality: Building Inhouse
Financial Industry: Basic
Hospitality: both Basic and Premium
Financial Industry: product issue on basic package
Hospitality: Building inhouse issue on both packages",,298
"Root Causes: Product eCommerce Break
Months:
2017: January, February, March
January 4th - March 30th


Total Breakdown: 3 Root Causes


",,299
"Issues by Month

Takeaways:
Issues are doubling by each month
Freeze Screen problems arose in February ",,300
Target Industry by Issue ,,301
"EcommTV Case 
Cancellation Influx",,302
"TABLE OF CONTENTS
Cancellation Analysis
	Client Type
Issue Type
Temporality
Overall Analysis
Recommendations and Next Steps
",,303
"Problems To Address
Cost & reason of cancellations by industry 
What are the account types (characteristics) being cancelled 
Which months the problems occurred and root cause of the problems 
Proposed solutions or strategic recommendations for EcommTV
",,304
Industry,,305
Tier,,306
Package Type,,307
Temporal Spread,,308
Temporal Cancellation by Reason,,309
Issue Specificity,,310
"Analysis by Industry
Financial Services
100% of Cancellations due to Product Issues
Hospitality & Food Services
75% of Cancellations due to Building InHouse
Complaint: Customer is building with own methods
Oil & Gas
100% of Cancellations due to Product Issues
Tech Startups
100% of Cancellations due to Product Issues
",,311
"Overall Solutions 
Financial Service: target Product Issues
Update website and ecommerce infrastructure
Increase funding for IT Department
Hospitality & Food Service: target Building InHouse
Provide assistance with building directly at customer site (expand offerings)
Oil & Gas: target Product Issues
Fix site database, invest in new servers
Tech Startup:target Product Issues
Update and potential overhaul of site",,312
Analysis of Recent Cancellations,,313
"Initial Findings
Initial review of the data set highlights major losses with Financial Services and Hospitality and Food Services.",,314
"Reason for Cancellations
Financial Services (Cost of Cancellation: $32.1 million lost)
All of the companies within these industries cited product issues as their reason for cancelling
Most issues for occurred with financial product breaks (i.e. Product Ecommerce Break, Freeze Screen, Host Site Error)
Oil & Gas ($300K) and Tech Startup ($6.7 million) faced similar issues
Hospitality and Food Services ($25.4 million)
Companies decided to cancel due to either Building In-house or Competitor Products
i.e. Customers were finding substitutes to the product, either from other companies (Amazon) or creating their own alternative
Note: The only 2 premium account cancellations were amongst these companies",,315
Reason for Cancellations,,316
"Recommended Solutions
Debugging and Troubleshooting technological issues that are prevalent and quickly resolving any future problems that arise
Possibly think about working less with SMB Financial Services firms in the future.
Monitor the newly acquired ENT Financial Services firms to make sure similar issues do not arise.",,317
